randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,test_trials,Jarbo_building-2_dancing-0.mp4,,,,,28,recog_ordered,studied,Jarbo,Jarbo_building-2_dancing,building-2,0.0,
,,test_trials,Fukaya_presents_recieving-gifts-0.mp4,,,,,29,recog_ordered,studied,Fukaya,Fukaya_presents_recieving-gifts,presents,0.0,
,,test_trials,OnoJoe_dark-building_dancing-1.mp4,,,,,30,recog_ordered,studied,OnoJoe,OnoJoe_dark-building_dancing,dark-building,1.0,
,,test_trials,Kapal_bedroom_dancing-with-man-0.mp4,,,,,31,recog_ordered,lure,Kapal,Kapal_bedroom_dancing-with-man,bedroom,0.0,
,,test_trials,Jarbo_bus_boarding-bus-0.mp4,,,,,32,recog_ordered,lure,Jarbo,Jarbo_bus_boarding-bus,bus,0.0,
,,test_trials,Fukaya_balloons_holding-balloon-0.mp4,,,,,33,recog_ordered,studied,Fukaya,Fukaya_balloons_holding-balloon,balloons,0.0,
,,test_trials,OnoJoe_grey-brick-building_dancing-0.mp4,,,,,34,recog_ordered,studied,OnoJoe,OnoJoe_grey-brick-building_dancing,grey-brick-building,0.0,
,,test_trials,Kapal_outside-of-building_standing-0.mp4,,,,,35,recog_ordered,lure,Kapal,Kapal_outside-of-building_standing,outside-of-building,0.0,
,,test_trials,Jarbo_roof_with-cheerleaders-0.mp4,,,,,36,recog_ordered,studied,Jarbo,Jarbo_roof_with-cheerleaders,roof,0.0,
,,test_trials,Fukaya_meet-and-greet_waving-in-mall-0.mp4,,,,,37,recog_ordered,lure,Fukaya,Fukaya_meet-and-greet_waving-in-mall,meet-and-greet,0.0,
,,test_trials,OnoJoe_highway_dancing-0.mp4,,,,,38,recog_ordered,lure,OnoJoe,OnoJoe_highway_dancing,highway,0.0,
,,test_trials,Kapal_blackbox-performance_petting-0.mp4,,,,,39,recog_ordered,lure,Kapal,Kapal_blackbox-performance_petting,blackbox-performance,0.0,
,,test_trials,Jarbo_school-auditorium_dance-routine-1.mp4,,,,,40,recog_ordered,studied,Jarbo,Jarbo_school-auditorium_dance-routine,school-auditorium,1.0,
,,test_trials,Fukaya_exercise-class_dancing-0.mp4,,,,,41,recog_ordered,lure,Fukaya,Fukaya_exercise-class_dancing,exercise-class,0.0,
,,test_trials,OnoJoe_city-overlook_dancing-1.mp4,,,,,42,recog_ordered,lure,OnoJoe,OnoJoe_city-overlook_dancing,city-overlook,1.0,
,,test_trials,Kapal_conference_sitting-waiting-1.mp4,,,,,43,recog_ordered,studied,Kapal,Kapal_conference_sitting-waiting,conference,1.0,
,,test_trials,Jarbo_ammusement-ride-2_meeting-workers-0.mp4,,,,,44,recog_ordered,lure,Jarbo,Jarbo_ammusement-ride-2_meeting-workers,ammusement-ride-2,0.0,
,,test_trials,Fukaya_waving-posing-for-pictures_waving-at-camera-0.mp4,,,,,45,recog_ordered,lure,Fukaya,Fukaya_waving-posing-for-pictures_waving-at-camera,waving-posing-for-pictures,0.0,
,,test_trials,OnoJoe_weird-interviewer_dancing-with-him-0.mp4,,,,,46,recog_ordered,lure,OnoJoe,OnoJoe_weird-interviewer_dancing-with-him,weird-interviewer,0.0,
,,test_trials,Kapal_outside-of-building_going-inside-1.mp4,,,,,47,recog_ordered,lure,Kapal,Kapal_outside-of-building_going-inside,outside-of-building,1.0,
,,test_trials,Jarbo_ceremony_standing-with-people-in-ceremony-0.mp4,,,,,48,recog_ordered,lure,Jarbo,Jarbo_ceremony_standing-with-people-in-ceremony,ceremony,0.0,
,,test_trials,Fukaya_exercise-class_raising-arms-0.mp4,,,,,49,recog_ordered,lure,Fukaya,Fukaya_exercise-class_raising-arms,exercise-class,0.0,
,,test_trials,OnoJoe_interview_talking-0.mp4,,,,,50,recog_ordered,lure,OnoJoe,OnoJoe_interview_talking,interview,0.0,
,,test_trials,Kapal_white-hills_walking-1.mp4,,,,,51,recog_ordered,studied,Kapal,Kapal_white-hills_walking,white-hills,1.0,
,,test_trials,Jarbo_bus-1_stepping-off-0.mp4,,,,,52,recog_ordered,lure,Jarbo,Jarbo_bus-1_stepping-off,bus-1,0.0,
,,test_trials,Fukaya_exercise-class_marching-0.mp4,,,,,53,recog_ordered,studied,Fukaya,Fukaya_exercise-class_marching,exercise-class,0.0,
,,test_trials,OnoJoe_lakeside_dancing-0.mp4,,,,,54,recog_ordered,lure,OnoJoe,OnoJoe_lakeside_dancing,lakeside,0.0,
,,test_trials,Kapal_outside-dance-studio_looking-inside-3.mp4,,,,,55,recog_ordered,studied,Kapal,Kapal_outside-dance-studio_looking-inside,outside-dance-studio,3.0,
,,test_trials,Jarbo_mall-1_introduction-5.mp4,,,,,56,recog_ordered,lure,Jarbo,Jarbo_mall-1_introduction,mall-1,5.0,
,,test_trials,Fukaya_exercise-class_bending-knees-0.mp4,,,,,57,recog_ordered,studied,Fukaya,Fukaya_exercise-class_bending-knees,exercise-class,0.0,
,,test_trials,OnoJoe_glass-building_dancing-0.mp4,,,,,58,recog_ordered,studied,OnoJoe,OnoJoe_glass-building_dancing,glass-building,0.0,
,,test_trials,Kapal_autographs_taking-pictures-0.mp4,,,,,59,recog_ordered,lure,Kapal,Kapal_autographs_taking-pictures,autographs,0.0,
,,test_trials,Jarbo_ammusement-ride-1_dancing-0.mp4,,,,,60,recog_ordered,lure,Jarbo,Jarbo_ammusement-ride-1_dancing,ammusement-ride-1,0.0,
,,test_trials,Fukaya_bench_swaying-0.mp4,,,,,61,recog_ordered,studied,Fukaya,Fukaya_bench_swaying,bench,0.0,
,,test_trials,OnoJoe_solo-dance-on-stage_back-turned-with-announcer-0.mp4,,,,,62,recog_ordered,lure,OnoJoe,OnoJoe_solo-dance-on-stage_back-turned-with-announcer,solo-dance-on-stage,0.0,
,,test_trials,Kapal_hallway_dancing-0.mp4,,,,,63,recog_ordered,studied,Kapal,Kapal_hallway_dancing,hallway,0.0,
