,mascot_name,phase_id,video_context,Hit_Rate
9444,Fukaya,recog_ordered,exercise-class,0.45935960591133007
9445,Barasai,recog_ordered,announcers,0.4075342465753425
9446,OnoJoe,recog_ordered,glass-building,0.5377358490566038
9447,Shimanekko,recog_ordered,library,0.5619047619047619
9448,Fukaya,recog_ordered,waving,0.30526315789473685
9449,OnoJoe,recog_random,rooftop,0.2549019607843137
9450,Barasai,recog_random,cherry-blossoms,0.2809917355371901
9451,Barasai,recog_random,dance-with-little-cheerleaders,0.47368421052631576
9452,Fukaya,recog_random,balloons,0.24705882352941178
9453,Fukaya,recog_random,cow-costume,0.3853211009174312
9454,Shimanekko,recog_random,white-building,0.3867924528301887
9455,Shimanekko,recog_random,clothing-design,0.21153846153846154
9456,OnoJoe,recog_random,city-overlook,0.30578512396694213
9457,Barasai,recog_random,train,0.5537190082644629
9458,OnoJoe,recog_random,solo-dance-on-stage,0.32786885245901637
9459,Shimanekko,recog_random,inside-house,0.42592592592592593
9460,Fukaya,recog_random,waving,0.30526315789473685
9461,Shimanekko,recog_random,bridge,0.5
9462,Barasai,recog_random,rose-garden,0.22950819672131148
9463,Shimanekko,recog_random,classroom,0.28703703703703703
9464,Fukaya,recog_random,exercise-class,0.45935960591133007
9465,Shimanekko,recog_random,clothing-design,0.21153846153846154
9466,Shimanekko,recog_random,park,0.3371824480369515
9467,OnoJoe,recog_random,park,0.3371824480369515
9468,Barasai,recog_random,in-train,0.3140495867768595
9469,Shimanekko,recog_random,museum-signs,0.2782608695652174
9470,Fukaya,recog_random,exercise-class,0.45935960591133007
9471,Shimanekko,recog_random,sidewalk,0.4576271186440678
9472,Shimanekko,recog_random,indoor-event,0.39603960396039606
9473,Fukaya,recog_random,CPR,0.4112903225806452
9474,Barasai,recog_random,greenhouse,0.3884297520661157
9475,Shimanekko,recog_random,beach,0.38911290322580644
9476,OnoJoe,recog_random,room-with-curtains,0.4380165289256198
9477,Fukaya,recog_random,shopping,0.38028169014084506
9478,OnoJoe,recog_random,small-crowd-2,0.2809917355371901
9479,Fukaya,recog_random,red-cars,0.33783783783783783
9480,Shimanekko,recog_random,aquarium,0.5172413793103449
9481,Fukaya,recog_random,exercise-class,0.45935960591133007
9482,Barasai,recog_random,relay-race,0.5454545454545454
9483,Barasai,recog_random,dance-with-announcers,0.27358490566037735
9484,Shimanekko,recog_random,classroom,0.28703703703703703
9485,OnoJoe,recog_random,dark-building,0.48672566371681414
9486,Fukaya,recog_random,exercise-class,0.45935960591133007
9487,OnoJoe,recog_random,building-5,0.4344262295081967
9488,OnoJoe,recog_random,small-crowd-1,0.3114754098360656
9489,OnoJoe,recog_random,building-7,0.2831858407079646
9490,Shimanekko,recog_random,walking-around-outside-a-building,0.10743801652892562
9491,Barasai,recog_random,monument,0.1885245901639344
9492,Barasai,recog_random,carousel,0.45454545454545453
9493,Barasai,recog_random,announcers,0.4075342465753425
9494,Fukaya,recog_random,restaurants,0.47368421052631576
9495,Barasai,recog_random,caligraphy,0.3670886075949367
9496,OnoJoe,recog_random,highway,0.3305785123966942
9497,Fukaya,recog_random,bench,0.37209302325581395
9498,OnoJoe,recog_random,on-stage-1,0.37719298245614036
9499,Fukaya,recog_random,tea-ceremony,0.3081395348837209
9500,Barasai,recog_random,announcers,0.4075342465753425
9501,Fukaya,recog_random,waving,0.30526315789473685
9502,Barasai,recog_random,street,0.3691588785046729
9503,OnoJoe,recog_random,lakeside,0.2831858407079646
9504,Barasai,recog_random,dance-stage-with-background-musicians,0.21311475409836064
9505,Fukaya,recog_random,CPR,0.4112903225806452
9506,Shimanekko,recog_random,scientist,0.4639175257731959
9507,Fukaya,recog_random,exercise-class,0.45935960591133007
9508,Shimanekko,recog_random,school-hallway,0.44545454545454544
9509,OnoJoe,recog_random,interview-in-street-2,0.4380165289256198
9510,Shimanekko,recog_random,exploring-museum,0.3805309734513274
9511,Fukaya,recog_random,dance-alone,0.390625
9512,OnoJoe,recog_random,modern-building,0.6039603960396039
9513,OnoJoe,recog_random,glass-building,0.5377358490566038
9514,Fukaya,recog_random,waving-posing-for-pictures,0.3150684931506849
